lugar,lat,lon,menciones,doc_ids
Antioquia,6.5709,-75.456,98,F3-ALERTAS-012 | F3-ALERTAS-021 | F3-ALERTAS-067 | F3-ALERTAS-069 | F3-ALERTAS-075 | F3-ALERTAS-092 | F3-ALERTAS-124 | F3-ALERTAS-179
Cauca,2.7156,-76.6627,97,F3-ALERTAS-049 | F3-ALERTAS-070 | F3-ALERTAS-085 | F3-ALERTAS-236 | F3-ALERTAS-256 | F3-ALERTAS-257 | F3-ALERTAS-308 | F3-ALERTAS-331
Nariño,1.5842,-77.8586,97,F3-ALERTAS-017 | F3-ALERTAS-020 | F3-ALERTAS-029 | F3-ALERTAS-070 | F3-ALERTAS-223 | F3-ALERTAS-248 | F3-ALERTAS-271 | F3-ALERTAS-301
Norte de Santander,8.4418,-73.0493,83,F3-ALERTAS-055 | F3-ALERTAS-079 | F3-ALERTAS-093 | F3-ALERTAS-219 | F3-ALERTAS-220 | F3-ALERTAS-227 | F3-ALERTAS-262 | F3-ALERTAS-267
Chocó,6.0,-77.0,80,F3-ALERTAS-063 | F3-ALERTAS-092 | F3-ALERTAS-100 | F3-ALERTAS-101 | F3-ALERTAS-105 | F3-ALERTAS-124 | F3-ALERTAS-139 | F3-ALERTAS-163
Valle del Cauca,3.6984,-76.5502,67,F3-ALERTAS-006 | F3-ALERTAS-057 | F3-ALERTAS-066 | F3-ALERTAS-078 | F3-ALERTAS-099 | F3-ALERTAS-130 | F3-ALERTAS-149 | F3-ALERTAS-187
Córdoba,8.3345,-75.6666,51,F3-ALERTAS-038 | F3-ALERTAS-060 | F3-ALERTAS-098 | F3-ALERTAS-132 | F3-ALERTAS-193 | F3-ALERTAS-328 | F3-ALERTAS-337 | F3-ALERTAS-360
Putumayo,0.5,-76.0,51,F3-ALERTAS-070 | F3-ALERTAS-286 | F3-ALERTAS-327 | F3-ALERTAS-389 | F3-AMAZONUW-004 | F3-AMAZONUW-014 | F3-MAPPOEA-004 | F3-MAPPOEA-013
Catatumbo,8.5,-72.9,42,F3-ALERTAS-045 | F3-ALERTAS-083 | F3-ALERTAS-144 | F3-ALERTAS-220 | F3-ALERTAS-368 | F3-MAPPOEA-014 | F3-MAPPOEA-016 | F3-MAPPOEA-018
Bolívar,9.37,-74.8,42,F3-ALERTAS-030 | F3-ALERTAS-066 | F3-ALERTAS-083 | F3-ALERTAS-144 | F3-ALERTAS-280 | F3-ALERTAS-419 | F3-MAPPOEA-012 | F3-MAPPOEA-013
Arauca,6.6667,-71.0,41,F3-MAPPOEA-013 | F3-MAPPOEA-014 | F3-MAPPOEA-016 | F3-MAPPOEA-018 | F3-MAPPOEA-019 | F3-MAPPOEA-020 | F3-MAPPOEA-022 | F3-MAPPOEA-023
Caquetá,1.1153,-74.1057,31,F3-ALERTAS-096 | F3-ALERTAS-389 | F3-AMAZONUW-014 | F3-MAPPOEA-013 | F3-MAPPOEA-014 | F3-MAPPOEA-015 | F3-MAPPOEA-016 | F3-MAPPOEA-020
Meta,3.35,-72.95,28,F3-ALERTAS-292 | F3-ALERTAS-389 | F3-MAPPOEA-014 | F3-MAPPOEA-016 | F3-MAPPOEA-018 | F3-MAPPOEA-020 | F3-MAPPOEA-022 | F3-MAPPOEA-023
Guaviare,1.7899,-72.3762,26,F3-ALERTAS-389 | F3-MAPPOEA-013 | F3-MAPPOEA-014 | F3-MAPPOEA-016 | F3-MAPPOEA-018 | F3-MAPPOEA-019 | F3-MAPPOEA-020 | F3-MAPPOEA-021
Bogotá,4.6534,-74.0836,26,F3-ALERTAS-035 | F3-ALERTAS-086 | F3-ALERTAS-188 | F3-ALERTAS-194 | F3-ALERTAS-240 | F3-ALERTAS-304 | F3-ALERTAS-363 | F3-ALERTAS-370
